sheet_id,row_no,column_no,cell,value,range,list_of_list
1665571173,,,,,F59,
1665571173,7,4,,YES,,
215834870,7,4,,YES,,
1665571173,,,,,F63,
1665571173,,,,,E67:F67,"[[164.2, 246.35]]"
1665571173,,,,,F67,
215834870,,,C15,153.15,,
1665571173,,,C15,307.75,,
215834870,,,C3,136.45,,
1665571173,,,C7,294.25,,
215834870,16,12,,-14.18,,
215834870,16,4,,YES,,
1665571173,,,C11,272.15,,
1665571173,,,C3,315.25,,
215834870,8,12,,-15.56,,
215834870,8,4,,YES,,
1665571173,68,10,,-6.49,,
1665571173,,,G67,HIT,,
1665571173,,,,,J67:J68,"[[-64.99], [-6.49]]"
215834870,12,12,,-12.32,,
1665571173,,,G63,HIT,,
215834870,12,4,,YES,,
1584186431,153,5,,-71.48,,
1665571173,,,,,J63:J64,"[[-57.12], [-24.71]]"
1665571173,3,12,,-78.86,,
1665571173,3,6,,YES,,
215834870,,,,,J34:J35,"[[-7.41], [39.61]]"
1665571173,,,,,J34:J35,"[[55.86], [0]]"
1665571173,,,,,J29:J30,"[[89.72], [0]]"
1584186431,153,71,,32.20,,
215834870,,,,,L3:L4,"[[39.72], [-25.62]]"
1665571173,,,,,L11:L12,"[[-96.08], [-22.29]]"
1665571173,,,,,J71:J72,"[[128.52], [-54.86]]"
1584186431,153,18,,-32.68,,
1584186431,153,10,,55.86,,
215834870,,,,,L15:L16,"[[53.02], [-14.18]]"
215834870,,,,,L7:L8,"[[46.57], [-15.56]]"
215834870,,,,,L11:L12,"[[41.29], [-12.32]]"
1665571173,45,11,,= J44 + J45,,
1665571173,50,11,,= J49 + J50,,
1665571173,40,11,,= J39 + J40,,
1665571173,55,11,,= J54 + J55,,
1665571173,,,,,A49:C51,"[['41200CE', 247.35, ''], ['41200PE', 242.9, ''], ['', 490.25, 549.15]]"
1665571173,,,,,B49:C51,"[[247.35, ''], [242.9, ''], [490.25, 549.15]]"
1665571173,,,,,C51,
1665571173,50,13,,38.22,,
1665571173,50,14,,= k50 - M50,,
1665571173,,,,,J49:J50,"[[89.02], [0]]"
1665571173,,,,,A44:C46,"[['41200CE', 267.5, ''], ['41200PE', 224.45, ''], ['', 491.95, 551.05]]"
1665571173,,,,,A39:C41,"[['41200CE', 232.9, ''], ['41200PE', 268.95, ''], ['', 501.85, 562.15]]"
1665571173,,,,,A54:C56,"[['41300CE', 226.35, ''], ['41300PE', 257.0, ''], ['', 483.35, 541.45]]"
1665571173,,,,,B44:C46,"[[267.5, ''], [224.45, ''], [491.95, 551.05]]"
1665571173,,,,,B39:C41,"[[232.9, ''], [268.95, ''], [501.85, 562.15]]"
1665571173,,,,,B54:C56,"[[226.35, ''], [257.0, ''], [483.35, 541.45]]"
1665571173,,,,,C46,
1665571173,,,,,C41,
1665571173,,,,,C56,
1665571173,55,13,,23.06,,
1665571173,45,13,,39.90,,
1665571173,55,14,,= k55 - M55,,
1665571173,40,13,,49.68,,
1665571173,45,14,,= k45 - M45,,
1665571173,40,14,,= k40 - M40,,
1665571173,,,,,J54:J55,"[[55.86], [0]]"
1665571173,,,,,J44:J45,"[[90.7], [0]]"
1665571173,,,,,J39:J40,"[[100.48], [0]]"
1584186431,153,14,,27.12,,
1584186431,153,12,,45.23,,
1584186431,153,11,,45.23,,
1665571173,,,D268,271.65,,
1665571173,,,D269,308.45,,
1665571173,,,D260,321.05,,
1665571173,,,D264,296.85,,
1665571173,,,D261,269.35,,
1665571173,,,D265,291.55,,
1665571173,268,26,,-48.13,,
1665571173,268,5,,41400CE,,
1665571173,268,6,,215.0,,
1665571173,268,7,,182.75,,
1665571173,268,6,,215.00,,
1665571173,268,7,,182.75,,
1665571173,264,26,,-52.59,,
1665571173,264,5,,41300CE,,
1665571173,264,6,,237.0,,
1665571173,264,7,,201.35,,
1665571173,264,6,,237.00,,
1665571173,264,7,,201.35,,
1665571173,260,26,,-56.89,,
1665571173,268,8,,219.35,,
1665571173,260,5,,41400CE,,
1665571173,260,6,,215.0,,
1665571173,260,7,,182.75,,
1665571173,260,6,,215.00,,
1665571173,260,7,,182.75,,
1665571173,264,8,,241.65,,
1665571173,260,8,,219.35,,
1665571173,269,26,,-54.66,,
1665571173,269,5,,41200PE,,
1665571173,269,6,,250.75,,
1665571173,269,7,,213.05,,
1665571173,269,6,,250.75,,
1665571173,269,7,,213.05,,
1665571173,269,8,,255.75,,
1665571173,261,26,,-47.71,,
1665571173,261,5,,41100PE,,
1665571173,261,6,,217.25,,
1665571173,261,7,,184.65,,
1665571173,261,6,,217.25,,
1665571173,261,7,,184.65,,
1665571173,261,8,,221.65,,
1665571173,269,26,,-100.03,,
1665571173,269,9,,41100PE,,
1665571173,269,10,,204.25,,
1665571173,269,11,,173.55,,
1665571173,269,10,,204.25,,
1665571173,269,11,,173.55,,
1665571173,269,12,,208.35,,
1665571173,269,26,,-136.99,,
1665571173,269,13,,41100PE,,
1665571173,269,14,,202.55,,
1665571173,269,15,,172.15,,
1665571173,269,14,,202.55,,
1665571173,269,15,,172.15,,
1665571173,268,26,,61.59,,
1665571173,269,26,,-136.99,,
1665571173,264,26,,-2.66,,
1665571173,265,26,,-19.64,,
1665571173,260,26,,58.27,,
1665571173,261,26,,-72.66,,
1584186431,153,48,,-22.30,,
1584186431,153,47,,-14.39,,
1665571173,245,13,,= L244 + L245,,
1665571173,241,13,,= L240 + L241,,
1665571173,237,13,,= L236 + L237,,
1665571173,233,13,,= L232 + L233,,
1665571173,253,13,,= L252 + L253,,
1665571173,249,13,,= L248 + L249,,
1665571173,257,13,,= L256 + L257,,
1665571173,,,A256,41300CE,,
1665571173,256,12,,-64.23,,
1665571173,,,J256,HIT,,
1665571173,257,12,,-33.85,,
1665571173,,,D257,41200PE,,
1665571173,,,E257,237.1,,
1665571173,,,F257,201.55,,
1665571173,,,A252,41300CE,,
1665571173,,,E257,237.10,,
1665571173,,,A253,41200PE,,
1665571173,,,B252,205.6,,
1665571173,,,F257,201.55,,
1665571173,,,B253,222.1,,
1665571173,,,C252,236.45,,
1665571173,,,A240,41200CE,,
1665571173,,,C253,255.45,,
1665571173,,,A241,41200PE,,
1665571173,,,B252,205.60,,
1665571173,,,B240,247.35,,
1665571173,,,C252,236.45,,
1665571173,,,B241,242.9,,
1665571173,,,B253,222.10,,
1665571173,,,C240,284.55,,
1665571173,,,C253,255.45,,
1665571173,,,C241,279.35,,
1665571173,,,B240,247.35,,
1665571173,,,C240,284.55,,
1665571173,,,B241,242.90,,
1665571173,,,C241,279.35,,
1665571173,240,12,,-40.29,,
1665571173,,,D240,41300CE,,
1665571173,,,E240,226.35,,
1665571173,,,F240,192.45,,
1665571173,,,E240,226.35,,
1665571173,,,F240,192.45,,
1665571173,252,12,,-33.42,,
1665571173,,,D252,41300CE,,
1665571173,,,E252,234.4,,
1665571173,,,F252,199.25,,
1665571173,,,E252,234.40,,
1665571173,,,F252,199.25,,
1665571173,,,B244,226.35,,
1665571173,,,B245,208.8,,
1665571173,,,C244,260.35,,
1665571173,,,B236,217.45,,
1665571173,,,B249,215.3,,
1665571173,,,C245,240.15,,
1665571173,,,B237,224.45,,
1665571173,,,C248,249.95,,
1665571173,,,B244,226.35,,
1665571173,,,C236,250.15,,
1665571173,,,C249,247.65,,
1665571173,,,C244,260.35,,
1665571173,,,C237,258.15,,
1665571173,,,B248,217.30,,
1665571173,,,B245,208.80,,
1665571173,,,B236,217.45,,
1665571173,,,C248,249.95,,
1665571173,,,C245,240.15,,
1665571173,,,C236,250.15,,
1665571173,,,B249,215.30,,
1665571173,253,12,,-36.13,,
1665571173,,,B237,224.45,,
1665571173,,,C249,247.65,,
1665571173,,,C237,258.15,,
1665571173,,,D253,41100PE,,
1665571173,,,E253,202.8,,
1665571173,,,F253,172.45,,
1665571173,,,E253,202.80,,
1665571173,,,F253,172.45,,
1665571173,257,12,,-66.43,,
1665571173,,,J257,HIT,,
1665571173,256,12,,-64.23,,
1665571173,257,12,,-66.43,,
1584186431,153,63,,-130.66,,
1665571173,240,12,,-71.36,,
1665571173,,,J240,HIT,,
1665571173,248,12,,-35.37,,
1665571173,,,D248,41400CE,,
1665571173,,,E248,215.0,,
1665571173,,,F248,182.85,,
1665571173,,,E248,215.00,,
1665571173,,,F248,182.85,,
1665571173,244,12,,-36.83,,
1665571173,,,D244,41400CE,,
1665571173,,,E244,215.0,,
1665571173,,,F244,182.85,,
1665571173,,,E244,215.00,,
1665571173,,,F244,182.85,,
1665571173,236,12,,-35.42,,
1665571173,,,D236,41400CE,,
1665571173,,,E236,215.0,,
1665571173,,,F236,182.85,,
1665571173,248,12,,-64.83,,
1665571173,,,J248,HIT,,
1665571173,,,E236,215.00,,
1665571173,,,F236,182.85,,
1665571173,,,A232,41200CE,,
1665571173,,,A233,41100PE,,
1665571173,,,B232,232.9,,
1665571173,,,B233,219.65,,
1665571173,,,C232,267.85,,
1665571173,,,C233,252.65,,
1665571173,244,12,,-66.29,,
1665571173,,,B232,232.90,,
1665571173,,,J244,HIT,,
1665571173,,,C232,267.85,,
1665571173,,,B233,219.65,,
1665571173,,,C233,252.65,,
1665571173,249,12,,-35.04,,
1665571173,245,12,,-33.96,,
1665571173,,,D249,41100PE,,
1665571173,,,E249,202.8,,
1665571173,,,F249,172.45,,
1665571173,,,D245,41200PE,,
1665571173,,,E245,237.1,,
1665571173,,,E249,202.80,,
1665571173,,,F245,201.55,,
1665571173,,,F249,172.45,,
1665571173,232,12,,-37.86,,
1665571173,,,E245,237.10,,
1665571173,253,12,,-63.94,,
1665571173,,,F245,201.55,,
1665571173,,,J253,HIT,,
1665571173,,,D232,41300CE,,
1665571173,252,12,,-65.64,,
1665571173,,,E232,217.45,,
1665571173,253,12,,-63.94,,
1665571173,,,F232,184.85,,
1665571173,,,E232,217.45,,
1665571173,,,F232,184.85,,
1665571173,236,12,,-64.88,,
1584186431,153,62,,-129.58,,
1665571173,,,J236,HIT,,
1665571173,237,12,,-36.51,,
1665571173,,,D237,41100PE,,
1665571173,,,E237,201.35,,
1665571173,,,F237,171.15,,
1665571173,,,E237,201.35,,
1665571173,,,F237,171.15,,
1665571173,249,12,,-62.86,,
1665571173,,,J249,HIT,,
1665571173,248,12,,-64.83,,
1665571173,249,12,,-62.86,,
1584186431,153,61,,-127.69,,
1665571173,245,12,,-66.55,,
1665571173,,,J245,HIT,,
1665571173,244,12,,-66.29,,
1665571173,245,12,,-66.55,,
1665571173,232,12,,-67.74,,
1584186431,153,60,,-132.84,,
1665571173,,,J232,HIT,,
1665571173,237,12,,-64.19,,
1665571173,,,J237,HIT,,
1665571173,236,12,,-64.88,,
1665571173,237,12,,-64.19,,
1584186431,153,58,,-129.07,,
1665571173,240,12,,-71.36,,
1665571173,241,12,,-22.99,,
1584186431,153,59,,-94.35,,
1665571173,232,12,,-67.74,,
1665571173,233,12,,9.60,,
1584186431,153,57,,-58.14,,
